age,place_of_birth,citydistrict,gender,time
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Qinngorput,Male,2019
0,Greenland,Unknown,Male,2019
0,Outside Greenland,Nuuk,Male,2019
0,Outside Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuuk,Male,2019
1,Greenland,Nuussuaq,Male,2019
1,Greenland,Nuussuaq,Male,2019
1,Greenland,Nuussuaq,Male,2019
1,Greenland,Nuussuaq,Male,2019
